CellLine,Gene,RQ1,RQ2,RQ3,RQmin,RQmax,minus_error,plus_error
AS2_ESC,UBE3A,0.398736156,0.558703075,0.461400775,0.337463398,0.662823146,0.13548327,0.189876477
AS2_ESC,UBE3A-ATS,1.740621407,0.877912733,0.669429227,0.485754926,2.472829751,0.610232863,1.376841962
AS2_ESC,GABRB3,0.602561982,0.921108422,0.616088376,0.522845532,0.973001979,0.190407395,0.259749052
AS2_ESC,GABRA5,0.477643675,0.6990528,0.523680818,0.412849005,0.77813839,0.153943426,0.211345959
AS2_ESC,GABRG3,4.282125596,1.438347676,4.510111533,1.192958627,9.748392968,2.217236308,6.338198033
AS2_ESC,PWAR5,0.858217432,1.136349096,0.940571014,0.64840248,1.476283405,0.3299767,0.497904224
AS2_ESC,HERC2,0.486958665,0.924968553,0.507472737,0.472851302,0.865692913,0.166948683,0.225892928
AS2_ESC,CYFIP1,0.487263742,0.797862168,0.553605473,0.447666782,0.839149225,0.165243679,0.226238765
AS2_ESC,TUBGCP5,0.476596634,0.863624255,0.583143695,0.460543958,0.892502891,0.18057757,0.251381363
AS2_ESC,CHRNA7,0.605009905,1.095007689,0.792728637,0.584627763,1.180957292,0.246287648,0.350041881
AS2_ESC,NANOG,1.335297721,2.161793587,1.67411594,1.210918937,2.453727367,0.512816813,0.729991617
AS2_ESC,SOX2,0.392441359,0.574423496,0.477202553,0.306116151,0.756913375,0.175239652,0.275557572
AS2_ESC,OCT3/4,1.004322152,1.789759136,1.12568365,0.883693188,1.931861694,0.422895125,0.625273381
AS2_ESC,FGF4,0.172703885,0.982408611,0.340688568,0.186682545,1.331684831,0.31191781,0.833084476
AS2_ESC,KLF4,0.689053544,1.285954264,0.597464266,0.594453202,1.236918706,0.263037489,0.379428015
AS2_ESC,LIN28A,0.814431412,1.314868125,0.954228784,0.709644847,1.488717591,0.318197927,0.460874818
AS2_ESC,ZFP42,0.705740969,1.717196336,0.955671698,0.699246467,1.813857144,0.426956534,0.687654143
AS2_ESC,PAX6,3.153800592,2.484009649,1.629025414,0.865234539,6.78132127,1.557044013,4.359042718
AS2_ESC,MAP2,1.039342871,1.676009121,1.13365003,0.952759205,1.727709079,0.330241468,0.444708405
AS2_ESC,DLG4,1.216143197,1.667523521,1.204179207,0.931519543,1.993216882,0.431095765,0.630601573
WT_neu,NDN,18.80247201,15.23161956,6.7033431,9.318144766,19.78861464,4.261000124,6.20946975
WT_neu,MAGEL2,22.55539532,14.22177534,5.101356766,8.138904883,23.94276605,5.82060426,9.983256906
WT_neu,MKRN3,489.0134491,486.3583916,285.8991129,317.0516308,557.4992503,103.3720204,137.0755991
WT_neu,SNRPN ex1/2,0.949019374,0.873923425,0.488076133,0.578749155,1.025354702,0.191590489,0.255015058
WT_neu,SNRPN U4/ex2,40.505646,51.20770903,23.74465316,28.77648502,51.47162362,9.70951771,12.98562089
WT_neu,116HGG1,0.529766757,0.909564943,0.572002711,0.455732089,0.986316841,0.214712714,0.315872038
WT_neu,116HGG2,0.638378366,1.055495431,0.752274625,0.563916724,1.178984581,0.251466083,0.363601773
WT_neu,116HGG3,0.649499506,1.236760087,1.048492106,0.597001228,1.602968515,0.381249339,0.624717948
WT_neu,IPW,2.29990882,3.739197479,2.288291745,1.96691152,3.917340432,0.808887829,1.141541084
WT_neu,SNORD115,44.25210635,56.22028604,21.38448496,28.90703429,57.07606748,11.71192483,16.45710837
WT_neu,UBE3A,3.218992763,4.016761123,2.328754139,2.408808975,4.219688592,0.779360367,1.03151925
WT_neu,UBE3A-ATS,9.999799102,11.09822033,1.745091212,3.608004589,16.06944568,4.006365624,8.455075464
WT_neu,GABRB3,2.636563766,2.904395432,0.948053177,1.445453778,3.236759912,0.717550347,1.073755787
WT_neu,GABRA5,4.078263522,2.366955637,0.712807786,1.237956931,4.598737417,1.14805205,2.212728435
WT_neu,GABRG3,134.227343,164.5928411,113.820855,100.5365888,188.1820442,37.01042425,50.63503118
WT_neu,PWAR5,1.028222707,1.580308744,0.969929266,0.834955354,1.704067307,0.357864885,0.511247069
WT_neu,HERC2,1.580300833,2.111643399,1.246533126,1.244363305,2.177691865,0.401795815,0.531532746
WT_neu,CYFIP1,1.549903197,2.534182535,1.961420839,1.370326021,2.963459397,0.644842836,0.948290539
WT_neu,TUBGCP5,2.1726945,2.720266506,1.721000679,1.665079178,2.919079683,0.539574718,0.714425788
WT_neu,CHRNA7,2.635760588,4.11920521,3.381037459,2.291192644,4.982294183,1.087475109,1.603626431
WT_neu,NANOG,0.068063545,0.093436353,0.035387299,0.045179774,0.095334126,0.020449292,0.02970506
WT_neu,SOX2,2.269355036,2.603890294,2.048409753,1.497208853,3.555453574,0.810009508,1.248235213
WT_neu,OCT3/4,0.000975763,0.001318141,0.000768848,0.000732155,0.001423567,0.000288762,0.00040265
WT_neu,FGF4,0.073794603,0.080651534,0.048940719,0.052734391,0.087158414,0.015061227,0.019362795
WT_neu,KLF4,5.082996838,5.649255169,1.99297139,2.837080489,6.341860199,1.404660643,2.100119066
WT_neu,LIN28A,0.002708716,0.003707006,0.011295786,0.00227873,0.015295921,0.003625106,0.009392085
WT_neu,ZFP42,0.000400599,0.004408305,0.000763463,0.000234123,0.014736419,0.001623332,0.012878964
WT_neu,PAX6,755.16693,1601.357208,2272.304999,757.8122615,3141.507948,785.1307843,1598.564902
WT_neu,MAP2,180.2758083,224.6453413,113.4758643,131.2242041,227.5456437,41.5748005,54.7466391
WT_neu,DLG4,32.18310113,27.24859827,10.47976246,15.58969448,34.83506725,7.714126146,11.53124663
PWS_neu,NDN,0.001404178,0.002937962,0.00082481,0.000287488,0.010318241,0.001434828,0.008595924
PWS_neu,MAGEL2,0.148702589,0.090461914,0.053818189,0.042607316,0.223850074,0.055053581,0.126189177
PWS_neu,MKRN3,44.05749813,36.37523508,22.62374198,20.42842005,57.7661309,13.92373835,23.4139725
PWS_neu,SNRPN ex1/2,1.11443E-05,3.97939E-05,2.1042E-05,3.85811E-06,0.000149213,2.01353E-05,0.00012522
PWS_neu,SNRPN U4/ex2,0.497076491,1.254210739,0.075970956,0.204332418,1.815599473,0.404753644,1.206513411
PWS_neu,116HGG1,0.003596611,0.009919748,0.007061122,0.003027247,0.015541539,0.003831913,0.008682378
PWS_neu,116HGG2,0.003235006,0.012416178,0.001021944,0.00204392,0.015112206,0.00351379,0.009554497
PWS_neu,116HGG3,0.003493466,0.01549101,0.003834465,0.004146028,0.013954565,0.003460286,0.006348251
PWS_neu,IPW,0.01086194,0.045462841,0.027387265,0.01288394,0.06043447,0.015020076,0.032530454
PWS_neu,SNORD115,0.021586935,0.186943631,0.004455509,0.01200107,0.419990969,0.058994288,0.348995611
PWS_neu,UBE3A,1.549928503,2.536918196,1.567628094,1.320627412,2.690058519,0.564197519,0.805233588
PWS_neu,UBE3A-ATS,0.085970278,0.563159612,0.031634504,0.039873657,1.291412798,0.187047807,1.064491333
PWS_neu,GABRB3,0.721693528,0.775319518,0.710283998,0.484004045,1.118484738,0.251761636,0.382719057
